IdLocnumTypOrder,lon,lat
B749600M1,9.55436,46.96789
B849600M2,9.55436,46.96788
B649600M3,9.55435,46.96786
B549600M4,9.55434,46.96783
C*49600D5,9.55433,46.96781
A49600M6,9.55432,46.9678
BG 09997 - 149202B7,9.55431,46.96778
BG 09997 - 249202B8,9.55431,46.96777
BG 08000 - 149202B9,9.5543,46.96776
BG 08000 - 249202B10,9.5543,46.96775
A*49202D11,9.55429,46.96774
A*49600D12,9.55428,46.96773
BG 08001 - 149202B13,9.55428,46.96772
BG 08001 - 249202B14,9.55427,46.96772
A 49202M15,9.55426,46.96771
C*49202D16,9.55426,46.96771
BG XXXXX - 149202B17,9.55425,46.9677
B149202M18,9.55424,46.9677
B249202M19,9.55423,46.9677
BG 08002 - 149202B20,9.55489,46.96762
