id,type,additional information,relativ position,location,location number,location abreviation,idlocation abreviation
B7,main signal,track 2,0.034 km,Landquart,49600,LQ,B7LQ
B8,main signal,track 1,0.034 km,Landquart,49600,LQ,B8LQ
B6,main signal,track 3,0.059 km,Landquart,49600,LQ,B6LQ
W6,turnout engine,track 15,0.082 km,Landquart,49600,LQ,W6LQ
B5,main signal,track 4,0.100 km,Landquart,49600,LQ,B5LQ
W5,turnout engine,track 13,0.106 km,Landquart,49600,LQ,W5LQ
BUe 0.107,railway crossing,,0.107 km,Landquart,49600,LQ,BUe 0.107LQ
W4,turnout engine,,0.148 km,Landquart,49600,LQ,W4LQ
C*,distant signal,,0.620 km,Landquart,49600,LQ,C*LQ
A,main signal,,0.620 km,Landquart,49600,LQ,ALQ
BG 09997 - 1,balise,,0.978 km,Malans,49202,MALA,BG 09997 - 1MALA
BG 09997 - 2,balise,,0.978 km,Malans,49202,MALA,BG 09997 - 2MALA
BG 08000 - 1,balise,,1.028 km,Malans,49202,MALA,BG 08000 - 1MALA
BG 08000 - 2,balise,,1.028 km,Malans,49202,MALA,BG 08000 - 2MALA
A*,distant signal,,1.030 km,Malans,49202,MALA,A*MALA
A*,distant signal,,1.360 km,LQ,49600,LQ,A*LQ
BUe 1.37,railway crossing,Pumpihuesli,1.376 km,Malans,49202,MALA,BUe 1.37MALA
BG 08001 - 1,balise,,1.653 km,Malans,49202,MALA,BG 08001 - 1MALA
BG 08001 - 2,balise,,1.653 km,Malans,49202,MALA,BG 08001 - 2MALA
A ,main signal,,1.657 km,Malans,49202,MALA,A MALA
C*,distant signal,,1.657 km,Malans,49202,MALA,C*MALA
W1,turnout engine,,1.983 km,Malans,49202,MALA,W1MALA
B1,main signal,track 1,2.055 km,Malans,49202,MALA,B1MALA
B2,main signal,track 2,2.055 km,Malans,49202,MALA,B2MALA
BG 08002 - 1,balise,track 1,2.059 km,Malans,49202,MALA,BG 08002 - 1MALA
BG 08002 - 2,balise,track 1,2.059 km,Malans,49202,MALA,BG 08002 - 2MALA
